,City,quatity score,business score,Cost of Living Index
112,Dayton,0.11,0.57,88.4
114,Charlottesville,0.04,0.54,102.1
115,Tulsa,0.1,0.53,86.7
117,Ithaca,0.08,0.5,101.7
118,Savannah,0.1,0.5,97.3
119,Winston-Salem,0.08,0.5,91.2
120,Gainesville,0.07,0.5,97.3
123,Medford,0.02,0.47,107.5
124,Santa Fe,0.06,0.46,105.1
125,Santa Rosa,0.08,0.46,141.7
126,Jackson,0.07,0.46,87.4
128,Huntington,0.07,0.44,84.3
129,Manchester,0.05,0.44,109.6
130,San Luis Obispo,0.06,0.43,136.1
131,Missoula,0.05,0.43,103.4
132,Midland,0.03,0.42,87.0
135,Harrisonburg,0.02,0.41,95.5
137,Iowa City,0.05,0.4,93.5
139,Portsmouth,0.05,0.39,84.7
142,Cheyenne,0.04,0.38,96.9
144,Eugene,0.04,0.37,108.4
145,Harrisburg,0.06,0.36,95.8
147,Concord,0.04,0.35,108.3
149,Traverse City,0.06,0.35,99.6
150,Greensboro,0.04,0.35,91.0
151,Akron,0.05,0.35,89.4
152,Lancaster,0.03,0.33,99.5
153,Sioux Falls,0.04,0.33,92.8
154,Lansing,0.05,0.33,88.7
155,South Bend,0.06,0.32,87.2
158,Carson City,0.02,0.31,103.0
159,Roswell,0.05,0.3,86.3
160,Michigan City,0.05,0.3,87.8
161,Baton Rouge,0.04,0.29,91.1
163,Cedar Rapids,0.05,0.29,88.1
165,Bozeman,0.04,0.28,125.3
167,Pensacola,0.04,0.28,97.9
168,State College,0.04,0.28,99.8
169,Duluth,0.04,0.27,93.2
171,Champaign,0.04,0.27,89.0
172,College Station,0.04,0.26,92.3
173,Danville,0.02,0.26,83.9
175,Lebanon,0.01,0.26,95.4
178,Ames,0.03,0.25,91.5
181,Blacksburg,0.03,0.25,94.5
182,Lakeland,0.02,0.24,96.4
186,Grand Junction,0.02,0.23,98.1
192,Fargo,0.02,0.23,91.4
193,Napa,0.03,0.23,149.6
194,Tallahassee,0.03,0.22,96.4
195,Tyler,0.03,0.22,92.8
196,Truckee,0.02,0.22,132.8
198,Myrtle Beach,0.02,0.21,94.7
200,Erie,0.03,0.21,91.8
202,Mobile,0.03,0.19,88.3
204,Scranton,0.02,0.19,91.3
206,Allentown,0.02,0.19,98.9
207,Brunswick,0.02,0.19,94.4
208,Panama City,0.02,0.19,101.9
209,Corpus Christi,0.01,0.19,93.3
210,Chico,0.03,0.19,110.5
211,Canton,0.02,0.18,88.2
212,Redding,0.02,0.18,108.7
213,Whitewater,0.03,0.18,97.7
215,Kalamazoo,0.01,0.17,89.3
217,Appleton,0.02,0.17,90.7
219,Athens,0.02,0.17,88.5
222,Idaho Falls,0.02,0.17,91.7
224,Ocala,0.02,0.17,94.5
226,Topeka,0.02,0.17,85.6
227,Joplin,0.01,0.17,85.2
228,Toledo,0.02,0.17,87.5
229,Stockton,0.02,0.17,113.6
232,Fort Wayne,0.02,0.16,86.8
233,Reading,0.03,0.16,96.0
234,El Paso,0.03,0.16,88.6
235,Lubbock,0.02,0.16,88.8
236,Modesto,0.02,0.16,112.3
237,Lawrence,0.01,0.16,91.6
241,Peoria,0.01,0.15,86.7
242,Las Cruces,0.01,0.15,88.8
243,Huntsville,0.02,0.15,91.3
246,Shreveport,0.02,0.15,85.8
249,Grand Forks,0.02,0.15,90.7
251,Billings,0.02,0.15,95.7
252,Flint,0.02,0.14,85.7
253,Janesville,0.01,0.14,89.8
257,Atlantic City,0.01,0.14,102.0
261,Roanoke,0.01,0.14,94.1
262,Bellingham,0.02,0.14,111.6
263,Augusta,0.02,0.14,91.6
267,Binghamton,0.01,0.14,93.3
270,Monroe,0.01,0.13,86.5
272,Montgomery,0.01,0.13,88.5
273,Auburn,0.01,0.13,93.7
276,Bangor,0.02,0.13,98.0
278,Great Falls,0.01,0.12,91.1
279,Shelton,0.01,0.12,109.6
282,Winchester,0.01,0.12,97.2
283,Bowling Green,0.01,0.12,87.0
286,Lynchburg,0.01,0.1,93.6
287,Gulfport,0.01,0.1,86.8
289,Salinas,0.01,0.1,138.3
